sku_id,category,name,mrp,discount,available_quantity,selling_price,weight,out_of_stock,quantity,revenue,inventory_value,price_per_gram,estimated_profit,weight_category,city,state,region,latitude,longitude,warehouse,reorder_level,stock_status,revenue_band
40,Fruits & Vegetables,Sweet Lime,30.0,16,3,25.0,116,False,2,75.0,90.0,0.21551724137931033,13.5,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
41,Fruits & Vegetables,Baby Potato,19.0,15,3,16.0,500,False,500,48.0,57.0,0.032,8.64,Medium,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
42,Fruits & Vegetables,Coccinia,32.0,15,3,27.0,250,False,250,81.0,96.0,0.108,14.579999999999998,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
43,Fruits & Vegetables,Guava,54.0,16,3,45.0,232,False,4,135.0,162.0,0.1939655172413793,24.299999999999997,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
44,Fruits & Vegetables,Apple Washington,177.0,15,3,149.0,232,False,4,447.0,531.0,0.6422413793103449,80.46000000000001,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Medium Revenue
45,Fruits & Vegetables,Amla,32.0,15,3,27.0,250,False,250,81.0,96.0,0.108,14.579999999999998,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
46,Fruits & Vegetables,Beans Cluster,30.0,16,3,25.0,250,False,250,75.0,90.0,0.1,13.5,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
47,Fruits & Vegetables,Apple Royal Gala,189.0,15,3,159.0,232,False,4,477.0,567.0,0.6853448275862069,85.85999999999999,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Medium Revenue
48,Fruits & Vegetables,Chilli Bhaji,30.0,16,3,25.0,250,False,250,75.0,90.0,0.1,13.5,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
49,Fruits & Vegetables,Lettuce Green,23.0,17,3,19.0,100,False,100,57.0,69.0,0.19,10.26,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
50,Fruits & Vegetables,Baby Corn Peeled,35.0,17,3,29.0,250,False,250,87.0,105.0,0.116,15.66,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
51,Fruits & Vegetables,Mixed Sprouts,35.0,17,3,29.0,200,False,200,87.0,105.0,0.145,15.66,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
52,Fruits & Vegetables,Zucchini Green,35.0,17,3,29.0,250,False,250,87.0,105.0,0.116,15.66,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
53,Fruits & Vegetables,Beans Broad,42.0,16,3,35.0,250,False,250,105.0,126.0,0.14,18.9,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
54,Fruits & Vegetables,Raw Banana,20.0,15,6,17.0,500,False,500,102.0,120.0,0.034,18.36,Medium,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Healthy Stock,Low Revenue
55,Fruits & Vegetables,Colocasia ,29.0,17,6,24.0,500,False,500,144.0,174.0,0.048,25.92,Medium,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Healthy Stock,Low Revenue
56,Fruits & Vegetables,Tomato Cherry ,35.0,17,3,29.0,200,False,200,87.0,105.0,0.145,15.66,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
57,Fruits & Vegetables,Sweet Potato ,38.0,15,3,32.0,500,False,500,96.0,114.0,0.064,17.28,Medium,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
58,Fruits & Vegetables,Pineapple Slice,89.0,15,3,75.0,200,False,200,225.0,267.0,0.375,40.5,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
59,Fruits & Vegetables,Orange,54.0,16,3,45.0,116,False,2,135.0,162.0,0.3879310344827586,24.299999999999997,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
60,Fruits & Vegetables,Dragon Fruit Imported,70.0,15,3,59.0,58,False,1,177.0,210.0,1.0172413793103448,31.86,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
61,Fruits & Vegetables,Zucchini Yellow,42.0,16,3,35.0,250,False,500,105.0,126.0,0.14,18.9,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
62,Fruits & Vegetables,Apple Kinnaur,142.0,16,6,119.0,232,False,4,714.0,852.0,0.5129310344827587,128.51999999999998,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Healthy Stock,Medium Revenue
63,Fruits & Vegetables,Pineapple,94.0,15,3,79.0,58,False,1,237.0,282.0,1.3620689655172413,42.66,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
64,Fruits & Vegetables,Basil,20.0,15,3,17.0,100,False,100,51.0,60.0,0.17,9.18,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
65,Fruits & Vegetables,Parsley,17.0,17,3,14.0,100,False,100,42.0,51.0,0.14,7.5600000000000005,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
66,Fruits & Vegetables,Ridge Gourd,30.0,16,3,25.0,500,False,500,75.0,90.0,0.05,13.5,Medium,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
67,Fruits & Vegetables,Papaya Cut,46.0,15,3,39.0,200,False,200,117.0,138.0,0.195,21.06,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
68,Fruits & Vegetables,Pomegranate Peeled,58.0,15,2,49.0,100,False,100,98.0,116.0,0.49,17.64,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
69,Fruits & Vegetables,Pear Green Imported,82.0,15,3,69.0,116,False,2,207.0,246.0,0.5948275862068966,37.26,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
70,Fruits & Vegetables,Guava Thai,70.0,15,3,59.0,116,False,2,177.0,210.0,0.5086206896551724,31.86,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
71,Fruits & Vegetables,Lettuce Red,20.0,15,3,17.0,100,False,100,51.0,60.0,0.17,9.18,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
72,Fruits & Vegetables,Mango Raw,60.0,16,3,50.0,500,False,500,150.0,180.0,0.1,27.0,Medium,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
73,Fruits & Vegetables,Biryani /Pulav Mix,58.0,15,3,49.0,250,False,250,147.0,174.0,0.196,26.46,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
74,Fruits & Vegetables,Banana Nendran,54.0,16,6,45.0,500,False,500,270.0,324.0,0.09,48.599999999999994,Medium,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Healthy Stock,Low Revenue
75,Fruits & Vegetables,Pumpkin Cut,30.0,16,3,25.0,200,False,200,75.0,90.0,0.125,13.5,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
76,Fruits & Vegetables,Banana Red,54.0,16,6,45.0,500,False,500,270.0,324.0,0.09,48.599999999999994,Medium,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Healthy Stock,Low Revenue
77,Fruits & Vegetables,Radish White,23.0,17,6,19.0,500,False,500,114.0,138.0,0.038,20.52,Medium,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Healthy Stock,Low Revenue
78,Fruits & Vegetables,Avocado Indian Premium,177.0,15,3,149.0,58,False,1,447.0,531.0,2.5689655172413794,80.46000000000001,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Medium Revenue
79,Fruits & Vegetables,Banana Leaf,12.0,16,2,10.0,58,False,1,20.0,24.0,0.1724137931034483,3.5999999999999996,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
80,Fruits & Vegetables,Sponge Gourd,25.0,16,2,21.0,300,False,300,42.0,50.0,0.07,7.56,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
81,Fruits & Vegetables,Zama Organics Carrot,20.0,15,3,17.0,250,False,250,51.0,60.0,0.068,9.18,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
82,Fruits & Vegetables,Safal Frozen - Mixed Vegetables,110.0,4,2,105.0,1000,False,1,210.0,220.0,0.105,37.8,Large,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
83,Fruits & Vegetables,Zama Organics Sweet Potato,37.0,16,3,31.0,250,False,250,93.0,111.0,0.124,16.740000000000002,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
84,Fruits & Vegetables,Beetroot,16.0,18,3,13.0,500,False,500,39.0,48.0,0.026,7.02,Medium,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
85,Fruits & Vegetables,Capsicum,26.0,19,3,21.0,500,False,500,63.0,78.0,0.042,11.34,Medium,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
86,Fruits & Vegetables,Carrot,19.0,21,3,15.0,500,False,500,45.0,57.0,0.03,8.1,Medium,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
87,Fruits & Vegetables,Garlic,17.0,23,3,13.0,200,False,200,39.0,51.0,0.065,7.02,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
88,Fruits & Vegetables,Carrot,13.0,15,0,11.0,250,True,200,0.0,0.0,0.044,0.0,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Out of Stock,Low Revenue
89,Fruits & Vegetables,Beetroot,11.0,18,0,9.0,250,True,250,0.0,0.0,0.036,0.0,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Out of Stock,Low Revenue
90,Fruits & Vegetables,Moong Sprouts,35.0,17,0,29.0,200,True,200,0.0,0.0,0.145,0.0,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Out of Stock,Low Revenue
91,Fruits & Vegetables,Safal Frozen Mixed Vegetables,60.0,5,0,57.0,500,True,500,0.0,0.0,0.114,0.0,Medium,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Out of Stock,Low Revenue
92,Fruits & Vegetables,Safal Frozen Corn,41.0,4,0,39.0,200,True,200,0.0,0.0,0.195,0.0,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Out of Stock,Low Revenue
93,Fruits & Vegetables,Safal Frozen - Sweet Corn,160.0,5,0,152.0,1000,True,1,0.0,0.0,0.152,0.0,Large,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Out of Stock,Low Revenue
94,Cooking Essentials,Maggi 2 Minute Masala Noodles,12.0,0,6,12.0,70,False,70,72.0,72.0,0.17142857142857143,12.96,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Healthy Stock,Low Revenue
95,Cooking Essentials,iD Idli & Dosa Batter ,80.0,15,6,68.0,1000,False,1,408.0,480.0,0.068,73.44,Large,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Healthy Stock,Medium Revenue
96,Cooking Essentials,Tata Salt,24.0,0,6,24.0,1000,False,1,144.0,144.0,0.024,25.92,Large,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Healthy Stock,Low Revenue
97,Cooking Essentials,Arden Eggs White,97.0,0,4,97.0,696,False,12,388.0,388.0,0.13936781609195403,69.84,Medium,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
98,Cooking Essentials,Arden Eggs White,65.0,15,4,55.0,348,False,6,220.0,260.0,0.15804597701149425,39.6,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
99,Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),230.0,4,6,219.0,1000,False,1,1314.0,1380.0,0.219,236.52,Large,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Healthy Stock,High Revenue
100,Cooking Essentials,Aashirvaad Superior MP Atta,250.0,2,6,245.0,5000,False,5,1470.0,1500.0,0.049,264.6,Large,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Healthy Stock,High Revenue
101,Cooking Essentials,Amul Pure Ghee (Pouch),255.0,2,6,249.0,500,False,500,1494.0,1530.0,0.498,268.92,Medium,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Healthy Stock,High Revenue
102,Cooking Essentials,Arden Eggs Brown,85.0,7,4,79.0,348,False,6,316.0,340.0,0.22701149425287356,56.879999999999995,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
103,Cooking Essentials,Tata Salt Lite,40.0,10,6,36.0,1000,False,1,216.0,240.0,0.036,38.879999999999995,Large,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Healthy Stock,Low Revenue
104,Cooking Essentials,Saffola Gold Oil (Pouch),215.0,0,6,215.0,1000,False,1,1290.0,1290.0,0.215,232.2,Large,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Healthy Stock,High Revenue
105,Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),925.0,0,6,925.0,5000,False,5,5550.0,5550.0,0.185,999.0,Large,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Healthy Stock,High Revenue
106,Cooking Essentials,Fortune Rice Bran (Pouch),225.0,11,6,199.0,1000,False,1,1194.0,1350.0,0.199,214.92000000000002,Large,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Healthy Stock,High Revenue
107,Cooking Essentials,Saffola Active Oil,210.0,0,6,210.0,1000,False,1,1260.0,1260.0,0.21,226.79999999999998,Large,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Healthy Stock,High Revenue
108,Cooking Essentials,Amul Pure Ghee (Pouch),505.0,1,2,499.0,1000,False,1,998.0,1010.0,0.499,179.64,Large,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,High Revenue
109,Cooking Essentials,Aashirvaad Atta,460.0,13,6,399.0,10000,False,10,2394.0,2760.0,0.0399,430.91999999999996,Large,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Healthy Stock,High Revenue
110,Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),160.0,6,4,149.0,1000,False,1,596.0,640.0,0.149,107.28,Large,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Medium Revenue
111,Cooking Essentials,Amul Ghee (Tin),520.0,2,6,509.0,1000,False,1,3054.0,3120.0,0.509,549.7199999999999,Large,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Healthy Stock,High Revenue
112,Cooking Essentials,Amul Fresh Cream,197.0,3,3,191.0,1000,False,1,573.0,591.0,0.191,103.13999999999999,Large,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Medium Revenue
113,Cooking Essentials,Popular Essentials Pure Jaggery,50.0,2,6,49.0,450,False,450,294.0,300.0,0.10888888888888888,52.92,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Healthy Stock,Low Revenue
114,Cooking Essentials,Aashirvaad Multigrain Atta,64.0,3,2,62.0,1000,False,1,124.0,128.0,0.062,22.32,Large,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
115,Cooking Essentials,Fortune Soyabean Oil,1005.0,0,6,999.0,5000,False,5,5994.0,6030.0,0.1998,1078.92,Large,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Healthy Stock,High Revenue
116,Cooking Essentials,Popular Essentials Sunflower Seeds,25.0,0,6,25.0,50,False,50,150.0,150.0,0.5,27.0,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Healthy Stock,Low Revenue
117,Cooking Essentials,Tata Sampann kabuli chana,185.0,1,4,183.0,1000,False,500,732.0,740.0,0.183,131.76,Large,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Medium Revenue
118,Cooking Essentials,Dhara Groundnut Oil (Pouch),230.0,11,6,203.0,1000,False,1,1218.0,1380.0,0.203,219.24,Large,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Healthy Stock,High Revenue
119,Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,1200.0,18,6,984.0,5000,False,5,5904.0,7200.0,0.1968,1062.72,Large,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Healthy Stock,High Revenue
120,Cooking Essentials,24 Mantra Organic Jaggery Powder,80.0,15,6,68.0,500,False,500,408.0,480.0,0.136,73.44,Medium,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Healthy Stock,Medium Revenue
121,Cooking Essentials,Tata Sampann High Protien Kabuli Chana,94.0,0,1,94.0,500,False,500,94.0,94.0,0.188,16.919999999999998,Medium,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
122,Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,1250.0,8,6,1143.0,5000,False,5,6858.0,7500.0,0.2286,1234.4399999999998,Large,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Healthy Stock,High Revenue
123,Cooking Essentials,D'lecta Dairy Cream,54.0,5,6,51.0,200,False,200,306.0,324.0,0.255,55.08,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Healthy Stock,Low Revenue
124,Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,15.0,0,3,15.0,60,False,60,45.0,45.0,0.25,8.1,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
